Size,QuickSort,BubbleSort,Shuffle,BinarySearch,LinearSearch
1000,245000,191100,1970700,191100,3084500
6000,1304600,177200,959200,177200,15829600
11000,2517300,189200,1440400,189200,26115000
16000,3866900,230400,1633400,230400,38360600
21000,5235100,204600,3766500,204600,50334700
26000,6482200,210800,2984700,210800,62629800
31000,7890700,215500,3433200,215500,74268300
36000,10252000,215000,3692500,215000,89372200
41000,12168100,218900,5484500,218900,100230300
46000,12647600,224900,4898100,224900,123220500
51000,14432900,296100,5381200,296100,123354300
56000,15960900,219700,6631800,219700,133813400
61000,18013000,225500,6840500,225500,147876000
66000,18068300,229100,6544800,229100,161539500
71000,20646000,234800,6886400,234800,176797300
76000,27968400,344800,7675300,344800,208571100
81000,23408100,239300,9714100,239300,196521500
86000,24305700,237900,8267900,237900,204856800
91000,27652800,240900,9483600,240900,228390700
96000,27470300,236900,9464700,236900,229555700
101000,28147100,243700,10091200,243700,242221800
106000,31263300,251100,10830700,251100,255229000
111000,22258700,164700,10952100,164700,181152100
116000,23042700,161900,7705200,161900,190596400
121000,24603700,168000,7960600,168000,196680400
126000,25157000,168300,8375600,168300,205735100
131000,26746300,167900,8949200,167900,213668900
136000,32446100,186000,8923300,186000,254938100
141000,28388600,171600,10678900,171600,231210000
146000,31105500,166300,9835700,166300,239263500
151000,31061600,170500,9975100,170500,245213100
156000,31771800,195600,10483300,195600,255918800
161000,33053400,164300,10830500,164300,261450300
166000,33614000,176900,10714100,176900,272747300
171000,35807100,172700,11264500,172700,279767800
176000,36729500,174500,11703500,174500,287579400
181000,36716500,172100,12079700,172100,293885900
186000,39276100,185200,11972600,185200,308007500
191000,39077100,176600,12457800,176600,310284800
196000,40248400,205600,12818000,205600,319985000
201000,42385500,174200,13148000,174200,326005600
206000,43550700,196700,13623500,196700,337542200
211000,44921700,187000,13857700,187000,345750000
216000,45499400,182600,14200200,182600,354412200
221000,47223000,175600,14758400,175600,360956400
226000,51106800,181800,15053300,181800,370525100
231000,48544300,186500,15552500,186500,378350400
236000,49442000,187400,15986800,187400,385072000
241000,55846200,188300,15744900,188300,393418600
246000,54721500,187900,16667000,187900,404268500
251000,53824700,210400,16266600,210400,411928800
256000,53836700,181300,16742700,181300,417670200
261000,59588300,201600,17321900,201600,446134700
266000,59158000,226800,17524600,226800,436357200
271000,59556400,181800,17918900,181800,447057500
276000,58603700,187400,18730900,187400,452960200
281000,62935300,184600,18252400,184600,461884600
286000,60792300,237000,19001500,237000,470031200
291000,62752100,189300,18958200,189300,479659700
296000,63494400,183400,19793200,183400,497494700
301000,63331900,214400,20440100,214400,500637200
306000,66188200,189800,20066900,189800,509189700
311000,66565200,187100,20373000,187100,508320100
316000,70056500,182500,20407800,182500,518827100
321000,68721600,186900,20993700,186900,524943200
326000,77403300,190000,21231900,190000,532871500
331000,69052000,191000,21844900,191000,541498700
336000,77991000,193700,21900400,193700,549847000
341000,74050000,188000,22264000,188000,557905700
346000,74295400,190800,22616800,190800,567491900
351000,81009200,208800,23125600,208800,575158300
356000,77785500,186700,23277500,186700,583333900
361000,80852200,184900,23365900,184900,591180000
366000,79392200,193000,24032100,193000,599052100
371000,83810600,196400,24021400,196400,609736700
376000,82297300,196400,24569300,196400,674229500
381000,89420600,187100,25192100,187100,628541800
386000,84983400,189500,24872600,189500,636050900
391000,87671400,196200,25547400,196200,644725700
396000,86401000,196900,25594100,196900,652034300
401000,91391900,186100,26052500,186100,662109800
406000,92402900,216800,26184400,216800,674324000
411000,91349400,187900,26746100,187900,682211300
416000,90294700,202500,27369300,202500,682669200
421000,90535800,202100,27450200,202100,691836100
426000,93064500,189600,27917400,189600,698160600
431000,94647800,196300,28165800,196300,708293500
436000,95615100,211200,28966300,211200,716598000
441000,100693300,194600,29307700,194600,723283800
446000,102909900,234700,29056300,234700,730065600
451000,99773900,195500,29482000,195500,744827000
456000,98332700,197000,29667900,197000,753532800
461000,105875200,219100,30685700,219100,754584800
466000,105848300,249000,30675500,249000,766383000
471000,103083200,198600,31096800,198600,771325900
476000,112149000,254600,31276100,254600,782461700
481000,107413800,210400,31661800,210400,789558000
486000,106651600,209600,31828200,209600,797383400
491000,111280100,264400,32280300,264400,805888000
496000,115269500,197300,32631700,197300,814149700
501000,111366700,214800,33236300,214800,822257200
506000,119448200,195400,33555600,195400,831892200
511000,116969400,205800,33837100,205800,834787900
516000,115175200,203700,33722100,203700,846311500
521000,118661800,197500,34137200,197500,854354600
526000,117993700,242600,34454000,242600,860852500
531000,121134300,212000,35278700,212000,870841300
536000,124917500,198300,35156300,198300,877318100
541000,120781600,198700,35514400,198700,886151300
546000,121403900,214500,35397400,214500,896657700
551000,122371700,220100,36307000,220100,903001000
556000,124824400,193100,37113000,193100,914708600
561000,125341800,228700,36394800,228700,927677600
566000,124832900,254400,37212500,254400,928760400
571000,129707800,236600,37264400,236600,943344300
576000,131251700,230900,38038200,230900,946458300
581000,138033100,218600,37895800,218600,958780100
586000,136463900,256300,38895000,256300,966180700
591000,131369300,205500,39529400,205500,971895700
596000,133951300,256900,39614800,256900,981898300
601000,140358600,299000,39979800,299000,991593800
606000,135744600,219800,40403700,219800,999044600
611000,138117200,222900,40398600,222900,1001291100
616000,147437900,199500,41335400,199500,1009205100
621000,146572700,234700,40602000,234700,1017569100
626000,141142800,311100,40718800,311100,1026552000
631000,141262000,232500,41202700,232500,1034441800
636000,145791500,247700,41646300,247700,1044533700
641000,155779300,204800,42090700,204800,1050939600
646000,149149000,232600,42440500,232600,1065627300
651000,159183200,267400,43543400,267400,1322395600
656000,147784600,266200,43896700,266200,1083963700
661000,153376000,206900,43926500,206900,1085032000
